CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,EstimatedSalary,Approved
788,Amritsar,Female,23,2,0,2,0,116978.19,0
655,Mumbai,Male,32,6,125561.97,1,0,164040.94,1
601,Mumbai,Male,32,7,98495.72,1,1,40014.76,1
619,Amritsar,Male,25,2,125211.92,1,1,113410.49,0
656,Amritsar,Male,31,1,127864.4,1,1,87107.57,0
725,Mumbai,Male,53,7,75888.2,1,0,45613.75,0
511,Delhi,Female,52,2,0,1,1,1643.11,1
614,Amritsar,Male,38,3,40685.92,1,1,46775.28,0
742,Mumbai,Male,52,2,136857,1,0,84509.57,0
687,Mumbai,Female,58,4,152328.88,2,0,126494.82,0
555,Delhi,Male,25,4,56084.69,2,0,178798.13,0
684,Delhi,Male,28,9,78707.16,1,1,99398.36,0
603,Mumbai,Male,37,8,109166.37,1,1,92840.67,0
751,Mumbai,Female,54,2,169831.46,2,1,27758.36,0
581,Mumbai,Female,30,5,101633.04,1,1,110431.51,0
735,Mumbai,Male,56,6,123180.01,2,1,196673.28,0
661,Mumbai,Female,51,9,150725.53,2,0,113656.85,0
675,Amritsar,Female,20,10,98373.26,1,1,18203,0
738,Mumbai,Male,54,2,133745.44,4,1,28373.86,1
813,Amritsar,Male,39,7,0,1,1,33953.87,0
657,Delhi,Female,27,2,163607.18,1,0,44203.55,0
604,Mumbai,Female,29,9,157780.84,2,1,58426.81,0
519,Amritsar,Male,26,9,0,2,0,145562.4,0
735,Amritsar,Female,57,7,178718.19,2,1,22388,0
664,Amritsar,Male,43,7,0,2,1,139161.64,0
678,Amritsar,Female,36,8,0,1,1,148210.64,0
757,Delhi,Male,35,5,77253.22,1,0,194239.63,0
416,Mumbai,Female,33,1,122189.66,2,1,98301.61,0
665,Amritsar,Female,50,1,96645.54,2,0,171413.66,0
777,Amritsar,Female,54,5,0,1,1,136458.19,1
543,Amritsar,Female,45,6,0,2,0,26019.59,0
506,Amritsar,Female,58,3,90307.62,1,1,159235.29,0
493,Amritsar,Female,22,8,0,2,1,1907.66,0
652,Delhi,Female,49,10,0,2,1,114675.75,0
750,Delhi,Male,30,1,121681.82,1,1,128643.35,1
729,Amritsar,Male,29,10,0,2,1,151869.35,0
646,Amritsar,Female,23,2,0,3,1,93251.42,1
635,Mumbai,Female,26,3,81623.67,2,1,156791.36,0
647,Delhi,Female,45,2,0,3,1,174205.22,1
808,Amritsar,Male,37,3,118626.55,2,1,147132.46,0
524,Amritsar,Female,32,6,0,2,1,109614.57,0
769,Amritsar,Male,49,6,0,2,1,172290.61,0
730,Delhi,Male,29,2,0,2,0,85982.47,0
515,Delhi,Male,51,4,176273.95,1,0,121277.78,0
773,Delhi,Male,54,10,102827.44,1,0,64595.25,0
814,Mumbai,Male,36,1,97086.4,2,1,197276.13,0
710,Delhi,Male,21,7,0,2,0,99645.04,0
413,Amritsar,Male,34,7,0,2,0,6534.18,0
665,Amritsar,Female,23,7,0,1,1,161848.03,0
623,Amritsar,Female,57,4,0,2,0,167162.43,0
738,Amritsar,Male,53,6,82674.15,1,1,41970.72,0
528,Delhi,Male,39,4,0,2,1,60536.56,0
670,Delhi,Female,33,7,0,1,1,177655.68,1
622,Delhi,Female,24,6,107073.27,2,1,30984.59,1
582,Mumbai,Male,31,7,88938.62,1,1,10054.53,0
785,Mumbai,Female,25,5,99806.85,1,0,36976.52,0
605,Delhi,Male,39,8,150092.8,1,0,71862.79,0
479,Mumbai,Male,30,5,92833.89,1,1,99449.86,1
685,Mumbai,Male,43,7,90536.81,1,0,63082.88,0
538,Mumbai,Male,60,4,108055.1,2,1,27231.26,0
562,Amritsar,Male,46,6,100238.35,1,0,86797.41,0
675,Delhi,Male,28,10,106190.55,1,0,22994.32,0
721,Mumbai,Male,38,7,154475.54,2,0,101300.94,1
628,Mumbai,Female,43,5,132351.29,2,1,74169.13,0
668,Mumbai,Female,24,4,167864.4,1,1,115638.29,0
506,Amritsar,Female,49,9,0,2,1,31766.3,0
524,Mumbai,Female,34,5,107818.63,1,1,199725.39,1
699,Mumbai,Male,55,9,185173.81,2,1,120834.48,0
828,Amritsar,Male,35,10,129433.34,2,0,38131.77,0
674,Delhi,Male,25,5,120193.42,1,0,100130.95,0
656,Amritsar,Female,45,3,0,2,1,141069.88,0
684,Mumbai,Female,55,4,126384.42,1,1,198129.36,0
625,Amritsar,Female,41,5,0,1,0,183646.41,0
432,Amritsar,Male,50,9,152603.45,1,1,110265.24,1
549,Amritsar,Female,51,4,0,1,0,8636.05,1
625,Mumbai,Male,20,5,148507.24,1,1,46824.08,1
828,Amritsar,Female,20,5,0,2,1,171378.77,0
770,Amritsar,Male,35,8,101827.07,1,1,167256.35,0
758,Amritsar,Female,23,1,0,2,1,124226.16,0
795,Mumbai,Female,31,9,130862.43,1,1,114935.21,0
687,Amritsar,Male,36,9,122570.87,1,1,35608.88,0
686,Amritsar,Male,33,9,0,2,0,16459.37,0
789,Mumbai,Male,31,6,124828.46,2,1,124411.08,0
589,Mumbai,Female,42,10,144895.05,2,1,34941.23,0
461,Mumbai,Female,42,9,63663.93,1,0,167784.28,0
637,Amritsar,Male,20,3,133463.1,1,0,93165.34,0
584,Delhi,Female,59,7,213146.2,1,1,75161.25,1
579,Delhi,Female,33,2,129490.36,2,0,8590.83,1
756,Mumbai,Male,29,3,137452.09,1,1,189543.9,0
663,Amritsar,Male,35,1,0,2,1,180427.24,0
682,Amritsar,Female,21,7,125851.93,1,1,193318.33,0
793,Delhi,Male,37,2,0,1,1,159123.82,1
691,Amritsar,Female,32,4,40915.55,1,1,126213.84,1
485,Delhi,Female,59,10,113157.22,1,1,54141.5,0
635,Delhi,Female,28,2,138296.94,2,1,141075.51,0
650,Amritsar,Male,35,6,106967.18,1,0,24495.03,0
735,Amritsar,Male,29,5,120681.63,1,1,74836.34,0
416,Amritsar,Male,22,4,0,2,0,878.87,0
754,Delhi,Female,54,3,0,2,1,89520.75,0
535,Amritsar,Female,50,2,0,1,1,149892.79,1
716,Delhi,Male,28,8,0,2,1,180800.42,0
539,Amritsar,Male,45,2,127609.59,1,1,98646.22,0
614,Amritsar,Female,45,2,0,2,1,109041.53,0
706,Delhi,Male,45,4,0,1,1,17941.16,1
758,Amritsar,Female,36,9,0,2,0,82996.47,0
586,Delhi,Female,23,2,0,2,1,92067.35,0
646,Amritsar,Female,32,5,97259.25,1,0,104719.66,0
631,Mumbai,Female,25,2,123246.7,1,0,112687.57,0
717,Delhi,Female,34,9,101060.25,1,0,84699.56,0
684,Amritsar,Male,56,9,0,2,1,83473.82,0
800,Amritsar,Female,32,7,108007.36,1,0,47125.11,0
721,Delhi,Female,44,4,0,2,1,106977.8,0
683,Delhi,Male,38,3,133702.89,1,1,55582.54,1
660,Mumbai,Male,55,1,125189.75,2,1,139874.43,0
704,Mumbai,Female,46,10,113034.22,1,1,162503.48,1
615,Delhi,Female,47,4,109013.23,1,1,196499.96,0
667,Delhi,Female,33,2,0,2,1,40721.24,1
682,Mumbai,Male,21,5,57929.81,2,0,53134.3,0
484,Amritsar,Female,33,2,130114.39,1,1,164017.89,0
628,Mumbai,Male,24,4,95826.49,2,1,155996.96,0
480,Mumbai,Male,21,5,129608.57,1,1,5472.7,1
578,Amritsar,Male,59,8,169462.09,1,1,112187.11,0
512,Amritsar,Male,46,1,0,2,1,146457.83,0
484,Delhi,Female,53,9,133868.21,1,1,27286.1,0
510,Amritsar,Female,20,6,0,2,1,130553.47,0
606,Mumbai,Male,22,2,190479.48,2,0,179351.89,0
597,Delhi,Female,58,8,101993.12,1,0,94774.12,0
754,Mumbai,Female,32,8,161608.81,1,1,8080.85,1
850,Delhi,Female,22,8,122311.21,1,1,19482.5,0
510,Amritsar,Male,47,3,0,2,1,48071.61,0
778,Mumbai,Female,31,10,162150.42,2,1,174531.27,0
636,Amritsar,Male,50,5,0,2,1,55470.78,0
804,Amritsar,Female,46,3,0,1,1,8546.87,1
514,Amritsar,Male,27,2,0,2,1,95857.18,0
730,Amritsar,Female,35,2,99010.67,1,1,194945.8,0
525,Delhi,Female,40,9,0,1,0,131521.72,0
616,Delhi,Male,43,2,0,2,0,196108.51,0
687,Mumbai,Female,44,6,111388.18,2,1,148564.76,0
715,Amritsar,Female,31,9,56214.85,2,0,92982.61,1
512,Amritsar,Female,57,3,84327.77,2,1,17675.36,0
479,Amritsar,Male,30,2,0,2,0,114996.43,0
601,Amritsar,Male,26,6,93012.89,1,1,86957.42,0
580,Delhi,Male,20,7,61710.44,2,1,128077.8,0
807,Amritsar,Male,47,9,174790.15,1,1,600.36,0
616,Delhi,Female,28,4,0,2,1,43001.46,0
721,Mumbai,Male,53,8,107720.64,1,1,158591.12,0
501,Amritsar,Male,24,6,0,2,1,47847.19,0
521,Amritsar,Male,32,10,96423.84,1,1,10488.44,0
850,Delhi,Male,28,1,141040.01,1,1,5978.2,0
759,Amritsar,Male,28,7,105420.18,1,0,121409.06,0
516,Delhi,Male,30,4,0,1,0,146145.93,1
711,Amritsar,Female,34,2,129022.06,2,1,14374.86,1
512,Delhi,Male,24,6,176666.62,1,1,94670.77,0
550,Amritsar,Male,37,10,0,1,1,179670.31,0
608,Delhi,Female,56,3,89763.84,1,0,199304.74,1
618,Amritsar,Male,39,4,134954.53,1,1,151954.39,0
643,Amritsar,Male,49,9,0,1,1,142513.5,1
671,Amritsar,Male,44,7,106376.85,1,0,158264.62,0
689,Mumbai,Male,33,6,161814.64,2,1,169381.9,0
603,Amritsar,Male,54,2,0,2,1,169915.02,0
620,Amritsar,Female,56,8,0,2,0,88852.47,0
676,Amritsar,Female,34,9,63095.01,1,1,40645.81,0
572,Mumbai,Male,36,2,118287.01,2,0,60427.3,0
668,Mumbai,Male,29,3,106854.21,1,0,157959.02,1
695,Amritsar,Male,59,1,49512.55,1,1,133007.34,0
730,Delhi,Female,37,1,0,2,0,176576.62,0
807,Amritsar,Male,49,3,105799.32,2,1,34888.04,1
592,Amritsar,Male,22,1,0,1,1,28737.71,1
726,Amritsar,Female,43,1,114722.05,2,1,98178.57,0
514,Delhi,Male,59,9,0,1,0,125010.24,0
567,Amritsar,Male,23,2,0,2,1,167984.61,0
850,Amritsar,Male,59,7,0,1,1,4861.72,1
671,Mumbai,Male,42,8,99564.22,1,1,108872.45,1
670,Amritsar,Male,56,2,170557.91,2,1,198252.88,0
694,Amritsar,Female,59,7,0,2,1,26960.31,0
547,Mumbai,Female,40,6,74596.15,3,1,85746.52,1
751,Mumbai,Male,33,5,96888.39,1,1,77206.25,1
594,Mumbai,Female,44,1,130830.22,1,1,61048.53,0
673,Amritsar,Male,42,4,0,2,0,111981.19,0
610,Amritsar,Male,50,3,0,2,1,62232.6,0
512,Amritsar,Female,58,6,0,2,0,156105.03,0
767,Mumbai,Male,27,8,119714.25,2,0,150135.38,0
585,Amritsar,Female,26,8,113978.97,2,0,93146.11,0
763,Mumbai,Male,26,7,100160.75,1,1,33462.94,1
712,Amritsar,Female,59,9,0,1,1,144375,0
539,Mumbai,Female,50,5,116220.5,3,1,55803.96,1
668,Amritsar,Female,32,5,0,3,1,89048.46,1
703,Amritsar,Male,25,10,81173.83,2,0,162812.16,0
662,Delhi,Male,59,6,0,2,1,136259.65,0
725,Mumbai,Female,38,2,116803.8,1,1,124052.97,0
703,Amritsar,Male,29,9,105961.68,2,0,74158.8,0
659,Mumbai,Male,26,10,117411.6,1,1,45071.09,1
523,Delhi,Male,51,9,0,2,1,62030.06,0
635,Amritsar,Female,28,6,123497.58,1,1,131953.23,1
772,Mumbai,Male,52,6,152400.51,2,1,79414,0
545,Amritsar,Female,48,1,0,2,1,199638.56,0
634,Mumbai,Male,26,2,103097.85,1,1,157577.29,0
739,Mumbai,Male,32,6,126418.14,1,1,134420.75,1
771,Mumbai,Female,29,9,77846.9,1,0,99805.99,0
587,Delhi,Female,53,9,0,2,1,97932.68,0
681,Amritsar,Female,36,7,0,2,0,170968.99,0
544,Mumbai,Male,36,1,79731.91,1,1,57558.95,0
696,Delhi,Male,56,3,0,1,0,176713.47,0
766,Delhi,Male,58,8,0,2,0,34283.23,0
727,Amritsar,Male,25,6,0,2,1,198637.34,0
671,Mumbai,Female,60,5,37266.67,2,0,156917.12,0
693,Amritsar,Female,23,4,127992.25,1,1,50457.2,0
850,Mumbai,Male,54,2,54901.01,1,1,140075.55,0
732,Mumbai,Male,53,3,108748.08,2,1,65323.11,0
726,Delhi,Female,32,10,99906.19,1,1,64323.24,0
557,Amritsar,Female,41,9,184686.41,2,1,14956.44,0
682,Amritsar,Female,34,10,110654.02,1,0,111879.21,0
738,Delhi,Male,29,10,79019.8,1,1,18606.23,0
531,Delhi,Female,36,1,99240.51,1,1,123137.01,0
498,Amritsar,Male,50,7,0,2,1,148528.24,0
651,Amritsar,Male,36,3,0,2,1,13898.31,0
549,Delhi,Female,39,2,0,1,0,81259.25,1
791,Mumbai,Female,35,10,52436.2,1,1,161051.75,0
650,Delhi,Male,20,5,0,2,0,191599.67,0
733,Mumbai,Male,30,1,100337.96,3,1,48559.19,1
811,Mumbai,Female,30,8,149297.19,2,1,186339.74,0
707,Amritsar,Male,34,4,0,2,1,33159.37,0
712,Mumbai,Male,46,9,145605.44,1,0,93883.53,0
706,Delhi,Female,22,7,0,2,1,110899.3,0
756,Amritsar,Male,25,3,0,1,1,11199.04,1
777,Amritsar,Female,33,2,0,2,1,189992.97,0
646,Amritsar,Male,53,9,84026.86,1,0,164255.69,0
714,Amritsar,Male,45,3,0,1,1,152167.79,1
782,Amritsar,Male,57,6,0,2,1,33949.67,0
775,Delhi,Male,32,9,0,2,1,68143.93,0
479,Mumbai,Male,60,4,138718.92,1,1,47251.79,1
807,Amritsar,Male,28,2,118274.71,1,1,25885.72,0
799,Amritsar,Female,55,5,174185.98,2,0,192633.85,0
675,Amritsar,Male,43,6,113208.86,2,1,34577.36,0
602,Delhi,Male,40,8,103907.28,1,1,161229.84,0
475,Amritsar,Female,43,6,119023.28,1,1,100816.29,0
744,Delhi,Female,38,2,166297.89,1,1,181694.44,0
588,Delhi,Male,53,5,0,2,1,79078.91,0
703,Mumbai,Male,33,4,63227,1,0,137316.32,0
747,Delhi,Female,27,1,94521.17,2,1,194926.86,0
583,Amritsar,Male,27,8,0,2,1,51285.49,0
750,Delhi,Female,57,6,112822.26,1,0,150401.53,1
681,Amritsar,Male,46,6,0,2,1,112491.96,0
773,Amritsar,Male,41,9,135903.33,1,1,73656.38,0
714,Amritsar,Female,48,1,125169.26,1,1,106636.89,0
687,Delhi,Female,56,2,0,3,1,155853.52,1
511,Amritsar,Male,27,1,149117.31,1,1,162599.51,0
627,Amritsar,Male,51,9,0,2,1,103737.82,0
694,Amritsar,Female,45,3,0,2,1,160990.27,0
616,Delhi,Female,53,6,132311.71,1,0,15462.84,0
687,Amritsar,Male,50,9,0,2,1,10334.05,0
712,Amritsar,Female,51,8,0,2,1,190686.16,0
553,Amritsar,Male,46,9,118082.89,1,0,94440.45,0
667,Amritsar,Male,35,9,119266.69,1,1,28257.63,0
731,Amritsar,Male,56,8,0,1,1,170034.95,1
629,Mumbai,Male,52,7,156847.29,2,1,31824.29,0
614,Amritsar,Male,27,3,137104.47,1,1,127166.49,1
438,Mumbai,Male,32,7,78398.69,1,1,44937.01,0
652,Amritsar,Female,23,2,0,2,1,188603.07,0
729,Mumbai,Male,58,7,63669.42,1,1,145111.37,0
642,Amritsar,Male,47,6,0,2,0,171463.83,0
806,Mumbai,Female,32,7,135296.33,1,1,182822.5,0
744,Delhi,Male,54,1,153804.44,1,1,87213.33,0
474,Delhi,Male,25,2,0,2,0,57175.32,0
559,Amritsar,Male,37,6,147069.78,1,1,120540.83,1
706,Delhi,Male,42,4,0,2,1,28714.34,0
628,Delhi,Female,30,2,0,1,1,85426.28,0
429,Amritsar,Male,33,3,95741.75,1,1,46170.75,0
525,Delhi,Female,43,2,145965.33,1,1,64448.36,0
680,Amritsar,Female,53,2,141441.75,1,1,16278.97,0
749,Amritsar,Male,35,3,139290.41,1,1,182855.42,1
763,Amritsar,Female,45,6,0,2,0,50404.72,0
734,Amritsar,Male,50,4,0,2,1,107640.25,0
716,Amritsar,Male,48,3,144428.87,1,1,134132.65,0
594,Amritsar,Male,50,2,0,2,1,103480.69,0
644,Amritsar,Female,28,10,95441.27,1,1,108761.05,1
671,Mumbai,Male,28,6,144848.74,1,1,179012.3,0
664,Mumbai,Male,46,10,116244.14,2,1,95145.14,0
656,Amritsar,Male,36,5,0,2,0,72143.44,0
667,Delhi,Female,40,5,146502.07,1,1,19162.89,0
663,Mumbai,Male,36,3,117028.6,2,0,144680.18,0
584,Mumbai,Female,43,9,112013.81,1,1,177772.03,1
626,Delhi,Female,30,8,108269.37,1,1,5597.94,0
485,Amritsar,Male,25,9,182123.79,1,1,116828.51,1
659,Mumbai,Female,27,9,150923.74,2,0,174652.51,0
649,Amritsar,Male,56,6,0,2,1,2010.98,0
805,Delhi,Female,48,5,165272.13,1,1,14109.85,1
716,Mumbai,Female,56,7,115301.31,1,1,43527.4,1
642,Mumbai,Female,21,8,129502.49,2,0,86099.23,1
659,Amritsar,Male,40,7,118342.26,1,0,161574.19,0
545,Delhi,Female,37,5,0,2,1,38970.14,0
543,Amritsar,Male,39,8,0,2,0,127587.22,0
718,Amritsar,Female,20,7,0,2,1,30380.12,0
840,Amritsar,Female,40,4,0,2,1,90908.95,0
630,Mumbai,Female,21,3,106937.05,2,1,138275.01,0
643,Mumbai,Male,57,1,170331.37,1,1,32171.79,0
654,Mumbai,Female,37,3,114510.85,1,1,126143.23,0
582,Amritsar,Male,24,1,0,2,1,129892.93,0
659,Delhi,Male,36,3,107594.11,2,1,102416.84,0
762,Delhi,Male,46,5,81273.13,1,1,18719.67,0
568,Delhi,Female,23,7,169399.6,1,1,61936.22,0
670,Delhi,Male,26,2,0,2,1,78358.94,0
613,Amritsar,Female,30,9,187841.99,2,1,147224.27,0
539,Amritsar,Male,43,3,0,2,1,160979.66,0
850,Delhi,Female,56,10,126776.3,2,1,132298.49,0
522,Delhi,Male,41,5,126436.29,1,1,174248.52,1
737,Amritsar,Male,54,1,101960.74,1,1,123547.28,0
520,Amritsar,Male,47,6,0,2,0,32790.02,0
706,Delhi,Male,52,2,0,2,0,181543.67,0
643,Mumbai,Female,60,5,150842.93,1,0,2319.96,1
648,Amritsar,Female,40,2,102535.57,1,1,189543.19,0
443,Mumbai,Female,49,5,99027.61,2,1,10940.4,0
640,Amritsar,Male,48,2,0,2,1,199493.38,0
628,Delhi,Female,26,6,0,1,1,188193.25,0
540,Mumbai,Female,22,1,87271.41,2,1,172572.64,0
460,Mumbai,Female,57,3,102742.91,2,1,189339.6,0
636,Mumbai,Male,40,6,40105.51,2,0,53512.16,0
593,Amritsar,Female,45,7,152265.43,1,1,34004.44,0
801,Delhi,Male,49,6,141947.67,1,1,10598.29,0
640,Mumbai,Female,58,2,106307.91,2,0,113428.77,0
611,Mumbai,Male,31,7,107884.81,2,1,183487.98,0
802,Mumbai,Male,33,7,125013.72,1,1,187658.09,0
717,Mumbai,Male,51,3,58469.37,2,1,172459.39,0
769,Amritsar,Female,20,6,0,1,0,21016,0
745,Mumbai,Male,49,7,117231.63,3,1,122381.02,1
572,Delhi,Male,49,6,152390.26,1,1,128123.66,0
629,Delhi,Female,34,9,34013.63,1,1,19570.63,0
687,Delhi,Female,55,8,0,3,0,188150.6,1
483,Amritsar,Female,56,1,0,2,1,111020.24,0
690,Amritsar,Male,20,4,101583.11,2,1,123775.15,0
492,Mumbai,Female,21,4,77168.87,2,0,146700.22,0
709,Mumbai,Male,43,9,124695.72,2,1,145251.35,0
705,Mumbai,Male,34,5,105934.96,1,1,82463.69,0
560,Amritsar,Female,56,6,0,1,1,15928.49,0
611,Delhi,Male,58,9,0,2,1,45886.33,0
730,Delhi,Male,27,3,0,2,1,186489.95,0
709,Delhi,Female,31,6,0,2,0,162922.65,0
544,Amritsar,Female,23,6,161525.96,2,1,9262.77,0
712,Mumbai,Female,34,2,147199.07,1,1,84932.4,0
752,Mumbai,Male,43,3,183102.29,1,1,71557.12,0
648,Delhi,Male,37,4,127209,2,1,77405.95,1
556,Delhi,Male,58,1,0,2,0,417.41,1
594,Delhi,Female,43,5,97378.54,1,1,71405.17,0
645,Mumbai,Female,47,5,136925.09,2,0,153400.24,0
557,Amritsar,Male,59,8,54503.55,1,1,371.05,0
547,Mumbai,Male,54,3,155726.85,1,1,67789.99,0
701,Amritsar,Female,28,10,0,2,0,145894.9,0
616,Amritsar,Female,48,9,135842.41,1,1,183840.51,1
605,Amritsar,Male,57,2,63349.75,1,1,108887.44,0
593,Mumbai,Female,54,9,129499.42,1,1,154071.27,0
751,Delhi,Male,54,9,0,2,0,179291.85,0
443,Delhi,Male,39,9,70438.01,2,0,56937.43,0
685,Amritsar,Male,23,4,0,2,1,112239.03,0
718,Amritsar,Male,42,7,0,1,1,45909.87,0
538,Delhi,Female,32,1,141434.04,1,0,173779.25,1
611,Delhi,Female,30,4,0,2,1,125696.26,0
668,Mumbai,Male,27,8,152958.29,2,1,159585.61,0
537,Mumbai,Female,58,10,138306.34,1,1,106761.47,0
709,Delhi,Male,52,6,0,2,0,129590.18,0
850,Amritsar,Male,38,3,0,2,1,80006.65,0
745,Delhi,Female,20,2,124328.84,1,1,140451.52,0
693,Mumbai,Female,42,5,181461.48,3,1,187929.43,1
795,Delhi,Male,26,7,0,2,1,167155.36,0
626,Delhi,Male,49,5,0,2,0,191420.71,0
487,Mumbai,Female,26,7,110368.03,1,0,11384.45,1
556,Amritsar,Female,45,10,89588.35,1,1,94898.1,0
643,Amritsar,Female,60,2,0,2,0,106781.59,0
605,Amritsar,Female,20,2,0,2,0,159508.52,0
756,Mumbai,Female,21,3,115924.89,1,1,93524.19,1
586,Amritsar,Female,53,5,0,2,1,87168.46,0
535,Mumbai,Male,60,7,111756.5,1,1,8128.32,1
678,Amritsar,Female,54,2,0,1,1,125518.32,0
596,Amritsar,Male,59,9,0,1,1,48963.59,0
648,Amritsar,Male,28,2,162923.85,1,1,98368.24,0
492,Mumbai,Male,43,5,124576.65,2,1,148584.61,0
702,Amritsar,Male,33,7,80793.58,1,1,27474.81,0
486,Mumbai,Female,25,9,71340.09,1,1,76192.21,0
568,Mumbai,Male,34,1,99282.63,1,0,134600.94,1
619,Mumbai,Male,51,6,137946.39,1,1,72467.99,1
724,Mumbai,Male,58,4,127892.57,2,0,199645.45,0
548,Mumbai,Female,57,9,101084.36,1,1,42749.85,0
545,Mumbai,Female,44,7,114754.08,1,1,136050.44,1
683,Amritsar,Male,30,10,0,1,0,73564.44,0
762,Amritsar,Female,24,7,99286.98,1,0,85578.63,0
627,Mumbai,Female,51,6,79871.02,2,1,129826.89,0
516,Amritsar,Male,45,1,104088.59,2,0,119666,0
800,Amritsar,Female,58,2,168190.33,2,1,68052.08,0
464,Mumbai,Female,60,10,85679.25,1,1,164104.74,0
626,Amritsar,Female,59,2,0,1,0,80190.36,0
790,Amritsar,Female,38,8,0,2,1,84126.75,0
534,Amritsar,Female,50,8,121551.58,2,1,70179,0
745,Amritsar,Male,24,9,122220.19,1,1,118024.1,0
553,Delhi,Male,47,1,116528.15,1,0,145704.19,1
748,Amritsar,Female,48,2,77780.29,1,0,183049.41,0
722,Amritsar,Male,53,8,0,1,0,120906.83,0
501,Amritsar,Male,35,2,125832.2,1,1,100433.83,0
675,Amritsar,Female,59,2,68065.8,1,0,138777,1
778,Delhi,Female,41,1,127299.34,2,1,124694.99,0
494,Mumbai,Female,23,8,174937.64,1,1,40084.32,0
850,Amritsar,Male,24,10,0,2,0,119232.33,0
592,Delhi,Male,55,10,110071.1,1,0,43921.36,0
590,Delhi,Female,60,4,139432.37,1,1,62222.81,0
758,Amritsar,Female,36,6,127357.76,1,0,56577,0
506,Amritsar,Male,51,5,0,2,1,164253.35,0
733,Amritsar,Male,21,8,0,1,1,7666.73,0
711,Amritsar,Male,20,8,0,2,1,68487.51,0
514,Mumbai,Male,32,8,95556.31,1,0,199273.98,1
637,Delhi,Male,54,4,0,1,1,186062.36,0
468,Mumbai,Male,57,6,111681.98,2,1,195711.16,0
539,Amritsar,Male,24,3,0,2,1,36692.17,0
509,Delhi,Female,28,5,108738.71,2,1,106920.57,0
662,Amritsar,Female,55,3,133950.37,1,1,48725.68,1
818,Delhi,Male,52,8,0,2,1,167036.94,0
608,Amritsar,Male,27,4,89968.69,1,1,68777.26,0
850,Delhi,Female,50,6,0,2,1,18924.92,0
816,Mumbai,Female,23,8,130878.75,3,1,71905.77,1
536,Amritsar,Male,48,7,0,2,1,64833.28,0
753,Amritsar,Male,46,4,0,2,1,184843.77,0
